Datetime,value,rolling_mean,rolling_std,z_score,anomaly
2011-03-19,232013.0,269364.6666666667,17042.34337604818,-2.191697810710811,False
2011-03-20,226823.0,268075.6,18724.657228297896,-2.2031164307593527,False
2011-03-21,250274.0,267970.3333333333,18818.461561462384,-0.9403708839607253,False
2011-03-22,269164.0,268463.8333333333,18642.50847795387,0.037557535108254575,False
2011-03-23,272108.0,267992.1,18353.474706911733,0.22425726276507288,False
2011-03-24,275642.0,267363.9,17727.146703038314,0.46697306332897703,False
2011-03-25,273028.0,266670.76666666666,17050.571974799674,0.37284575219700383,False
2011-03-26,254942.0,265592.06666666665,16720.73381481075,-0.6369377555208209,False
2011-03-27,239085.0,264111.26666666666,17043.281883919,-1.4683948101732636,False
2011-03-28,270382.0,264280.93333333335,17080.73589816895,0.3571899186920093,False
2011-03-29,269424.0,264960.8333333333,16857.102624778305,0.264764756198747,False
2011-03-30,264849.0,264389.0333333333,16547.177864358673,0.02779728787815877,False
2011-03-31,262740.0,263721.9666666667,16180.698581491057,-0.060687532229908574,False
2011-04-01,264525.0,263143.73333333334,15815.559481711345,0.0873359344804665,False
2011-04-02,233468.0,261423.2,16150.469758087736,-1.7309217885752688,False
2011-04-03,221438.0,259705.7,17559.20779799345,-2.179352305653162,False
2011-04-04,250737.0,259308.86666666667,17624.961724064065,-0.4863481011117974,False
2011-04-05,257985.0,259576.73333333334,17538.658718687282,-0.09075570480411707,False
2011-04-06,255736.0,258694.66666666666,17019.481959241017,-0.17383999546826387,False
2011-04-07,258660.0,258061.86666666667,16639.308580905214,0.03594700647716407,False
2011-04-08,261059.0,257513.06666666668,16242.072619001889,0.21831778594468723,False
2011-04-09,228488.0,255668.8,16293.549996114234,-1.6681938562487733,False
2011-04-10,223472.0,254014.06666666668,16967.58372640773,-1.8000245149303207,False
2011-04-11,247846.0,253869.4,17002.17368780703,-0.3542723483832909,False
2011-04-12,246641.0,254397.53333333333,16499.414590939003,-0.47010960847016886,False
2011-04-13,249651.0,253707.9,16240.423474923322,-0.24980259943739852,False
2011-04-14,249235.0,252767.56666666668,15623.610999632234,-0.2261043664457489,False
2011-04-15,258408.0,252545.06666666668,15489.127223099005,0.3785192831646383,False
2011-04-16,235388.0,251760.66666666666,15748.831880784335,-1.039611495671846,False
2011-04-17,220801.0,250800.4,16732.122102154088,-1.7929226081931282,False
2011-04-18,258945.0,251698.13333333333,16408.727437542315,0.4416470865428732,False
2011-04-19,275898.0,253333.96666666667,16289.118977643606,1.3852212243217008,False
2011-04-20,269267.0,253967.06666666668,16533.352082952304,0.9253981441010517,False
2011-04-21,257184.0,253567.73333333334,16296.623371292593,0.22190281902427206,False
2011-04-22,247672.0,252753.2,15944.875203932412,-0.31867292374586026,False
2011-04-23,216006.0,250765.33333333334,16692.80604773027,-2.0822942070940544,False
2011-04-24,199631.0,248318.76666666666,18588.434022973845,-2.619250583803477,False
2011-04-25,244587.0,247973.6,18557.321415289432,-0.1824940100035006,False
2011-04-26,254218.0,248478.03333333333,18512.99906493207,0.3100506107375929,False
2011-04-27,251414.0,247845.76666666666,18057.423926870848,0.197604782818635,False
2011-04-28,255569.0,247383.93333333332,17659.3002613228,0.4634989238273229,False
2011-04-29,248544.0,246840.43333333332,17351.4693001696,0.09817996604183998,False
2011-04-30,222898.0,245512.36666666667,17615.297212803944,-1.2837913770895149,False
2011-05-01,206846.0,243589.73333333334,18589.368761766396,-1.976599302764161,False
2011-05-02,240216.0,243814.66666666666,18503.29797133767,-0.1944878514220077,False
2011-05-03,251243.0,244808.16666666666,18055.128888439907,0.35639919122667413,False
2011-05-04,250651.0,244805.3,18054.161891280586,0.32378683846981804,False
2011-05-05,249345.0,244517.3,17904.96574378805,0.2696291112243504,False
2011-05-06,244469.0,244141.73333333334,17779.257328916545,0.01840721806384959,False
2011-05-07,218069.0,242788.7,18176.381154466115,-1.3599901867114037,False
2011-05-08,204574.0,240905.86666666667,19119.633993635773,-1.9002386070130954,False
2011-05-09,242049.0,241357.9,18975.687743386286,0.036420287335349896,False
2011-05-10,276216.0,243116.03333333333,19691.303670408593,1.6809433860089291,False
2011-05-11,317548.0,245439.43333333332,23925.51315874357,3.0138775368466706,True
2011-05-12,308843.0,247512.83333333334,26581.088749507817,2.3072857265036695,False
2011-05-13,276125.0,248395.3,27089.12238513029,1.0236470420031527,False
2011-05-14,222865.0,247516.3,27485.86338108126,-0.8968719540739505,False
2011-05-15,215209.0,246076.33333333334,28021.934310567554,-1.1015418490112132,False
2011-05-16,245885.0,246426.23333333334,27949.312810852192,-0.019364817195905673,False
2011-05-17,248747.0,247357.76666666666,27528.329768444826,0.05046558745186886,False
2011-05-18,248217.0,247000.16666666666,27442.163147475447,0.044341742551198486,False
2011-05-19,252972.0,246235.96666666667,26924.002367434627,0.2501869239723718,False
2011-05-20,256981.0,245826.43333333332,26653.68637204911,0.4184999594789307,False
2011-05-21,231908.0,244983.9,26681.766674111754,-0.49006874843437614,False
2011-05-22,238853.0,244689.93333333332,26699.70494081261,-0.21861415121524827,False
2011-05-23,278756.0,246781.6,26832.70640481337,1.1916203873592224,False
2011-05-24,260858.0,248822.5,25413.706340925048,0.47358302793554324,False
2011-05-25,255638.0,249190.86666666667,25430.28224006196,0.2535218945850608,False
2011-05-26,253627.0,249171.16666666666,25426.482227955188,0.1752437987050513,False
2011-05-27,245871.0,248986.4,25429.76167949431,-0.12250999593567352,False
2011-05-28,217890.0,247730.43333333332,26017.131289400466,-1.1469532517403442,False
2011-05-29,211580.0,246498.3,26839.555123953527,-1.3010014450215837,False
2011-05-30,256715.0,247625.53333333333,26522.454382360305,0.3427083532929722,False
2011-05-31,330795.0,251757.16666666666,29444.193288652932,2.684326670406439,False
2011-06-01,299546.0,253734.83333333334,30611.635231117634,1.4965279156370663,False
2011-06-02,268906.0,254323.6,30731.68072942295,0.47450707718821883,False
2011-06-03,302951.0,256066.93333333332,31974.456140998816,1.4662975488909167,False
2011-06-04,328350.0,258700.43333333332,34551.414558280725,2.015823883250366,False
2011-06-05,268096.0,259488.0,34485.050400187334,0.24961541015910008,False
2011-06-06,336720.0,263443.0333333333,36325.78733274324,2.0172161994852753,False
2011-06-07,413182.0,270396.63333333336,43854.3594337403,3.255899037412724,True
2011-06-08,418592.0,276281.4,51156.38781807322,2.781873507294871,False
2011-06-09,293028.0,276841.8,51247.650009301586,0.31584277517236736,False
2011-06-10,254984.0,274756.3333333333,50805.1113633627,-0.38918000182933987,False
2011-06-11,229199.0,272101.5333333333,51042.83250824131,-0.8405202302675178,False
2011-06-12,211972.0,269963.1,52199.19980384831,-1.1109576433722395,False
2011-06-13,254026.0,271001.8,51535.50183989347,-0.32940011048575984,False
2011-06-14,264019.0,272628.8,50472.880953554966,-0.1705826938613373,False
2011-06-15,267122.0,273336.7,50233.214721454286,-0.12371694772992008,False
2011-06-16,282970.0,274477.4666666667,50043.77623002612,0.16970208831358796,False
2011-06-17,305691.0,276393.26666666666,50103.881915086444,0.584739788884735,False
2011-06-18,283597.0,277414.1,49921.885714929565,0.12385149141413491,False
2011-06-19,274541.0,277999.43333333335,49776.78111306684,-0.06947884648221016,False
2011-06-20,312301.0,280679.2,49372.21505678876,0.6404776444327657,False
2011-06-21,363007.0,284817.6666666667,50924.37984815863,1.5354007955810298,False
2011-06-22,291668.0,285248.06666666665,50925.94602031829,0.12606409571207458,False
2011-06-23,273559.0,285671.43333333335,50768.74177849269,-0.238580530243997,False
2011-06-24,259357.0,285795.4,50697.36793929659,-0.5214945287032754,False
2011-06-25,251601.0,285727.86666666664,50743.02553518436,-0.6725430008702111,False
2011-06-26,250422.0,285879.56666666665,50626.430533170016,-0.7003765877476815,False
2011-06-27,307401.0,288863.26666666666,49095.80554240326,0.3775828327599716,False
2011-06-28,311312.0,292187.6666666667,47014.7587959747,0.40677297561655673,False
2011-06-29,311770.0,294022.8333333333,46655.509853927084,0.3803873695139326,False
2011-06-30,338230.0,294270.6666666667,46876.801149641076,0.9377630780096414,False
2011-07-01,331999.0,295352.43333333335,47374.54995341389,0.773549652771442,False
2011-07-02,354956.0,298220.76666666666,48313.788549214,1.1743072741137033,False
2011-07-03,300080.0,298125.06666666665,48306.93876119829,0.04046899645198828,False
2011-07-04,294926.0,297010.93333333335,47970.069073964456,-0.04346321307394025,False
2011-07-05,359715.0,300064.9,48971.7101715632,1.2180522140441294,False
2011-07-06,375146.0,301345.76666666666,50443.88488805012,1.4630164488147148,False
2011-07-07,319319.0,298217.0,45981.63005015119,0.45892239959706727,False
2011-07-08,326953.0,295162.36666666664,40416.23619074936,0.7865807489666674,False
2011-07-09,327079.0,296297.4,40830.24539404499,0.753892113626371,False
2011-07-10,353909.0,299594.9,41369.75968552309,1.3128937758612753,False
2011-07-11,363324.0,304065.73333333334,40742.42828147658,1.4544608450254852,False
2011-07-12,364775.0,309159.1666666667,38311.10663311646,1.4516895548315614,False
2011-07-13,309628.0,311012.56666666665,36869.755310658256,-0.037552911729425084,False
2011-07-14,306803.0,312438.7,35801.31778459822,-0.15741599328571357,False
2011-07-15,340425.0,314882.13333333336,35096.32802949646,0.7277931367976536,False
2011-07-16,328334.0,316394.26666666666,34648.37511235458,0.3445972082274064,False
2011-07-17,360816.0,318231.76666666666,35512.12776200622,1.1991462077046657,False
2011-07-18,433456.0,323227.06666666665,40641.70252927595,2.712212492917361,False
2011-07-19,450290.0,329085.36666666664,45730.001139735636,2.650440199268144,False
2011-07-20,458653.0,333963.76666666666,51339.925368807315,2.428699154461393,False
2011-07-21,478087.0,337799.76666666666,57512.93715731193,2.4392291589910196,False
2011-07-22,402894.0,341507.3,58019.36225216774,1.058038172381091,False
2011-07-23,345441.0,343903.36666666664,56582.99182341366,0.027174832644623403,False
2011-07-24,325210.0,346098.4666666667,54426.22778855747,-0.38379412859213896,False
2011-07-25,376174.0,350250.9,51649.247846010425,0.5019066313857729,False
2011-07-26,371233.0,354277.93333333335,48191.295755012834,0.3518284038856331,False
2011-07-27,355818.0,355891.8333333333,47371.02757075454,-0.001558617938423114,False
2011-07-28,370549.0,357866.4,46678.2519430105,0.2717025482334722,False
2011-07-29,375588.0,359993.6666666667,45953.62581419724,0.3393493561614781,False
2011-07-30,349058.0,360354.6,45819.119436141926,-0.24654773245356756,False
2011-07-31,358590.0,361240.9666666667,45507.810567571956,-0.05825300390425079,False
2011-08-01,414991.0,363242.13333333336,46530.40870503355,1.1121515608150798,False
2011-08-02,434003.0,367706.23333333334,46685.70208405995,1.420065752621563,False
2011-08-03,394116.0,371012.56666666665,44829.04184957074,0.5153675470214087,False
2011-08-04,362197.0,371095.3,44809.759043400096,-0.19857951013263916,False
2011-08-05,359937.0,370588.3333333333,44848.368936883766,-0.23749655975946868,False
2011-08-06,343040.0,371379.0333333333,44116.4288840518,-0.6423691592947125,False
2011-08-07,322974.0,371246.4,44260.34525209302,-1.0906467115214669,False
2011-08-08,340052.0,371678.8333333333,43875.64248637215,-0.7208289506679398,False
2011-08-09,329508.0,370865.4666666667,44438.975341032674,-0.930657521900135,False
2011-08-10,303298.0,368864.6,46110.15228222138,-1.4219558330385387,False
2011-08-11,303285.0,366814.93333333335,47639.509561253595,-1.3335555701229098,False
2011-08-12,309987.0,366826.9,47624.69210062466,-1.193496429959166,False
2011-08-13,292247.0,366341.7,48326.282552258046,-1.5332174561508443,False
2011-08-14,250007.0,363327.76666666666,52626.54084413616,-2.1533006891387445,False
2011-08-15,295263.0,362225.4,53719.842742214605,-1.2465114673051534,False
2011-08-16,317507.0,360781.76666666666,54337.40383089351,-0.7964084335229651,False
2011-08-17,330470.0,357348.9,52819.723327266285,-0.5088799847257958,False
2011-08-18,348702.0,353962.63333333336,49827.4570309509,-0.10557699804077213,False
2011-08-19,346881.0,350236.9,45740.69822254796,-0.07336792244998408,False
2011-08-20,307200.0,344540.6666666667,39482.53529603052,-0.9457514920633993,False
2011-08-21,281152.0,340482.6,39534.45533795759,-1.5007314377500942,False
2011-08-22,311526.0,339352.1,39871.24953833619,-0.697898870042816,False
2011-08-23,296822.0,338405.8333333333,40549.555653914176,-1.0255065108048675,False
2011-08-24,361918.0,337930.63333333336,40173.47751120976,0.5970946045179522,False
2011-08-25,326803.0,336449.63333333336,39719.84491972653,-0.24286684282955096,False
2011-08-26,311079.0,334958.3333333333,39807.35180351984,-0.5998724419347548,False
2011-08-27,299632.0,332594.43333333335,39726.5420036072,-0.8297332632258889,False
2011-08-28,254149.0,328546.4666666667,41348.56218968229,-1.799275784376151,False
2011-08-29,295185.0,326750.7,41596.13931865844,-0.7588612913853003,False
2011-08-30,291739.0,324522.3333333333,41622.28968194588,-0.7876388729174946,False
2011-08-31,334367.0,321834.86666666664,38027.07676591671,0.3295581569542518,False
2011-09-01,404926.0,320865.63333333336,35345.56615561452,2.3782436047728703,False
2011-09-02,419958.0,321727.0333333333,37444.848167794706,2.6233506469697065,False
2011-09-03,341040.0,321021.8,36850.88069541337,0.5432217527026856,False
2011-09-04,251219.0,317397.86666666664,38212.512008262594,-1.7318638107946673,False
2011-09-05,213884.0,313092.6666666667,42282.81028595623,-2.346312035451857,False
2011-09-06,246886.0,310556.4,43919.96947002902,-1.4496913538031644,False
2011-09-07,256730.0,307779.0,44619.39435438059,-1.1440989000109136,False
2011-09-08,263377.0,305574.63333333336,45139.412939426875,-0.9348290238058451,False
2011-09-09,268306.0,304408.23333333334,45649.483404323604,-0.79085743454249,False
2011-09-10,249367.0,302610.9666666667,46743.524503388246,-1.1390661537045037,False
2011-09-11,251300.0,300654.73333333334,47643.5614110285,-1.0359161211216408,False
2011-09-12,311637.0,301301.06666666665,47657.08948666753,0.2168813380058577,False
2011-09-13,295608.0,302821.1,46681.88819006428,-0.15451602922812374,False
2011-09-14,256504.0,301529.13333333336,47428.65255251443,-0.9493234766364104,False
2011-09-15,246438.0,299160.1666666667,48368.63334640393,-1.0900073667387675,False
2011-09-16,246179.0,296350.4666666667,48932.071845417144,-1.0253288850135949,False
2011-09-17,222391.0,292140.1,49700.338596189365,-1.4033928534512599,False
2011-09-18,213710.0,287701.06666666665,50581.83876952039,-1.462799069124632,False
2011-09-19,255240.0,285969.06666666665,50780.34771711665,-0.6051369879909021,False
2011-09-20,259252.0,285239.06666666665,51008.883010662095,-0.5094615904691487,False
2011-09-21,260298.0,283531.4666666667,50955.98345410206,-0.45595168794247526,False
2011-09-22,250315.0,281981.23333333334,51244.32817172331,-0.6179461115621925,False
2011-09-23,244859.0,278079.26666666666,49370.1246916025,-0.672881968076479,False
2011-09-24,220392.0,274532.23333333334,49571.00178857596,-1.0921754933306673,False
2011-09-25,210781.0,271188.9666666667,50396.52183160066,-1.1986534878045578,False
2011-09-26,247639.0,269455.86666666664,50278.52036251356,-0.43392022098830024,False
2011-09-27,252132.0,269388.63333333336,50301.03833334514,-0.3430671394688435,False
2011-09-28,252486.0,267965.3333333333,50149.81426674001,-0.3086618277587401,False
2011-09-29,252921.0,266671.4,50015.869582667045,-0.2749207424510162,False
2011-09-30,246952.0,263757.56666666665,48458.114451400936,-0.3468060376868584,False
2011-10-01,221989.0,257659.66666666666,41020.613778704304,-0.8695790574734147,False
2011-10-02,210802.0,250687.8,28281.050111460045,-1.410336597927015,False
2011-10-03,245658.0,247508.4,22555.095287333814,-0.0820391125121567,False
